mt,ref,score
The United States redistributes the seats of House of Representatives every 10 years based on the demographic changes.,Seats in the US House of Representatives are reallocated every 10 years based on changes in population.,0
Exposures from New Book: Prince Harry Thinks His Elder Brother “Snobbish and Arrogant”,Explosive allegation in new book: Prince Harry thinks his older brother is “snobbish and arrogant”,-5.2
"The British “Times” and “Sunday Times” have published a new book titled “Finding Freedom” in installments, which describes the psychological journey of Prince Harry and his wife Meghan Markle during their living of the royal life.","UK newspapers The Times and The Sunday Times are serializing a new book called “Finding Freedom”, which describes the royal life and experiences of Prince Harry and his wife Meghan Markle.",-1.4
"However, Reuters reported that Harry and Meghan have disassociated themselves from the book, saying that they have neither accepted the author's interview nor provided any content.","However, according to a report from Reuters, Harry and Meghan have disassociated themselves from the book, claiming that they refused to be interviewed by the author and did not provide any content for it.",0
"Sunday Times reported that the new book quoted an informant as saying that when Harry and Meghan were dating before marriage, Prince William wanted to confirm whether Meghan, who was originally a Hollywood actress, had ulterior motives for Harry.","The Sunday Times reports that the new book quotes sources who claim that before their marriage, when Meghan and Harry were dating, Prince William wanted to confirm that Meghan, at the time a Hollywood actress, had no ulterior motives in marrying Harry.",-5
"According to an informant, William said to Harry at the time: “Don't feel you need to rush (in marrying Megan).","One of the sources described William saying to Harry at the time, “Don’t let yourself be rushed (into marrying Meghan).",-0.2
You can spend as much time as possible to get to know this girl. ”,Take as much time as you can to get to know this girl. “,-0.1
"The report said that when Harry heard William described Meghan as “this girl”, he felt the arrogance and snobbishness from his brother's tone, and in addition, he believed that he did not need any others to take care of him and remind him.","The report states that when Harry heard William describe Meghan as “this girl”, he thought his brother’s words were arrogant and snobbish, and that he felt he no longer needed to consider the opinions of others in the matter.",-0.3
Harry and Meghan announced this January that they planned to live a more independent life and would earn their own living.,"In January of this year, Harry and Meghan announced their plans to live a more independent life and support themselves economically.",0
"After the two officially removed their status as high-ranking members of the royal family in March, now they are living with their son Archie in Los Angeles to pursue new careers.","In March, the couple formally renounced their status as high-ranking members of the royal family, and at present they live in Los Angeles with their son Archie, where they are pursuing new careers.",0
Harry and Meghan got married in May 2018.,Harry and Meghan were married in May of 2018.,0
"At that time, this marriage was regarded as an injection of Hollywood's glamour and flavor of the new times into the British royal family, and the two became one of the contemporary celebrity couples drawing the highest level of attention around the globe.","At the time, the marriage was seen as a way to bring Hollywood glamor and new energy into the British royal family, making the pair one of the world’s most prominent and scrutinized celebrity couples.",-1
"The Memorial Ceremony was attended by Tay Thi Son, Minister Counsellor of the Vietnamese Embassy in Laos, and the representatives of the Vietnamese Buddhist Association in Laos, the General Association of Vietnamese in Laos, the Vientiane Provincial Government, the Lao Veterans Association, etc..","The Minister-Counselor of the Vietnamese Embassy in Laos, Zheng Shixin, attended the memorial ceremony alongside representatives of the Laos Vietnamese Buddhism Association, the Lao Vietnamese Association, the Vientianne provincial government, and the Laos Veterans Association.",0
"The Memorial Ceremony for Martyrs was held in a solemn atmosphere, and representatives lit incense to the martyrs one after another, remembering the martyrs' great achievements and the special solidarity between Vietnam and Laos.","The memorial ceremony for the fallen veterans had a solemn, somber atmosphere as the representatives made offerings of incense to the deceased in turn, praised the courageous achievements of the war heroes, and praised the special relationship between Vietnam and Laos.",-0.1
"Minister Counsellor Tay Thi Son said in his speech that this is an opportunity for the Vietnamese and Lao people in Laos to jointly remember the revolutionary martyrs of the two countries, and to express their gratitude together for the martyrs who sacrificed their lives for the independence and freedom of the two countries; meanwhile, this is a good opportunity for the two peoples to recall that the two countries worked side by side to fight against the common enemy, fight for national independence and national unity, seek national development, and consolidate their relations together.","In her speech, Minister-Counselor Zheng Shixin said that this was an opportunity for the Lao Vietnamese and Lao people to remember the sacrifices of both countries’ revolutionary heroes, and to express their gratitude for those who laid down their lives for the two countries’ independence, but it was also a chance for the people of both countries to recall how they fought side by side against a common enemy, struggled for the independence of their peoples and to unify their countries, and worked together to build and develop their countries, making it the perfect occasion to solidify relations between the two nations.",-5
"On January 23, 1946, a day of 74 years ago, 28 soldiers of the Laos-Vietnam Combat Alliance died heroically during an attack on the stronghold Phonehe.","On January 23rd, 1946, exactly 74 years ago, 28 soldiers of the allied Lao-Vietnamese forces heroically laid down their lives in the attack on the Phonehe stronghold.",-20
The victory of this attack became a victory of historic significance for both countries in the early stage of the revolutionary struggle for national liberation.,This successful offensive became a historically significant victory in the revolutionary struggle for national liberation of both nations.,-10
"Ms. Tay Thi Son stressed that the two peoples will always remember the martyrs who sacrificed their lives for the cause of struggle for national liberation of the two countries, and meanwhile, he emphasized that the young generation of the two countries will continue to carry forward the old-timers’ tradition of being brave and strong, and make their due contributions to the continued blossoming of Vietnam-Lao relations and the prosperous development of the two countries.","Zheng Shixin said that the people of both nation will always remember the sacrifices of every hero in the two countries’ wars of national liberation, that the youth of both nations will carry on the heroic tradition of their ancestors, and that the relationship between the two countries would continue to grow and bear fruit, which in turn would contribute to the further prosperity and development of Vietnam and Laos.",-25
Milestone Leap!,A Milestone Leap!,0
Inter Milan unlocks the 3000th Serie A match - www.chinanews.com,Inter Milan Has Its 3000th Serie A Game - China News,-0.1
"Www.chinanews.com Client, July 26 - In the early morning of the 26th Beijing time, Inter Milan, a traditional top club of Serie A, ushered in a milestone battle.","July 26 (China News) Inter Milan, a traditional big Serie A club, commenced its milestone match in the early hours of July 26th Beijing time.",-1
"According to Italian media statistics, the away game against Genoa C.F.C. is the 3000th Serie A game in the history of Inter Milan, and the Nerazzurri is also the first team to unlock this milestone.","According to the Italian media, the away game against Genoa is Inter Milan's 3,000th Serie A match, making it the first team to reach this milestone.",0
"Since the league was reformed in 1929, Inter Milan is the only team that has never been absent from Serie A and the only team that has never been relegated.","Inter Milan is the only team to have never missed a Serie A Game since the league was reorganized in 1929, and also the only team to have never been relegated.",0
"According to Italian media reports, the match between Inter Milan and Genoa C.F.C. is the 3000th match in the history of the Nerazzurri.","According to the Italian media, Inter Milan's match against Genoa is the 3,000th match in the history of this Blue-Black-Stripes legion.",-0.1
"In this milestone match, Inter Milan won Genoa C.F.C. by three goals away game.","During the match, Inter Milan beat Genoa by three goals away from home.",-5
"In this match, Lukaku scored twice and Sanchez, who came off the bench, also contributed a goal.",Romelu Lukaku scored twice and Alexis Sanchez as a sub also contributed a goal.,0
"The match entered the rhythm of Inter Milan from the beginning, and the crazy attack finally turned into a goal in the 34th minute.","The game was controlled by Inter Milan from the start, who finally scored a goal with a strong offense after 34 minutes.",0
"Biraghi made a cross from the left, and Lukaku made a header from the middle.",Cristiano Biraghi sent in a cross from the left and Lukaku scored a header goal after outflanking.,0
"In the 82nd minute, Inter Milan did the same thing; Moses made a breakthrough on the right and made a pass, Sanchez's middle road was successful, and before the final game, Lukaku scored twice; and in the counterattack, Brozović sent a long-distance straight plug, and after Lukaku broke into the restricted area and slipped past Romero, he pushed an empty goal and fixed the score at 3: 0.","In the 82nd minute, as if following a formula, Inter Milan’s Moses broke through on the right and crossed for Sanchez to score from the middle; before the end, Lukaku scored twice and Marcelo Brozović delivered a driven pass in the counter-offense, but Lukaku broke into the penalty area and scored with a free shot after dribbling past Romero, and the score was set at 3:0.",0
"Inter Milan defeated Genoa C.F.C. 3-0 away game, and the score surpassed Atalanta B.C. to rise to the second place; and after one more game, it was 4 points behind the leader Juventus, and still kept the hope of winning the championship.","Inter Milan moved back above Atalanta into 2nd place with a 3-0 win away against Genoa, and remain in the title race with four points behind Juventus with a game to spare.",-5
"So far, Inter Milan has won 1489 of the 3000 Serie A matches spanning nearly 90 years, drew 834 games and lost 677 games, with a winning rate of 49.6%.","Inter Milan has now won 1,489, drawn 834, and lost 677 of its 3,000 Serie A matches spanning almost 90 years, and its winning percentage is 49.6%.",-0.2
"During the period, Inter Milan scored 5,038 goals and lost 3,102 goals, averaging 1.68 goals per game.","Among these matches, the team has scored 5,038 goals and conceded 3,102, averaging 1.68 goals per game.",-0.2
The Nerazzurri have won league titles 18 times and have never been relegated.,This Blue-Black-Stripes legion has won the league title 18 times and have never been relegated.,0
"Liu Yunlong, the old face of spy war drama, plays a stuttering leading actor - www.xinhuanet.com","A Familiar Face in Spy TV Series, Liu Yunlong, Plays a Stuttering Hero - Xinhua Net",-5
"The large-scale spy war drama “Winner”, produced by Liu Yunlong, directed by Yin Fei, and starred by Liu Yunlong, Su Qing, Liang Guanhua, Li Liqun, etc., landed in the GRT Satellite Channel’s “Golden Drama” at 7:30 pm on July 16.","Supervised by Liu Yunlong and directed by Yin Fei, the major spy TV series The Possibility of Victory, starring such actors and actress as Liu Yunlong, Su Qing, Liang Guanhua, and Li Liqun, will be broadcast on the 7:30 p.m. “Live Theatre” of Guangdong TV on July 16 2020.",-16.1
"The play tells the story of Tang Fei (played by Liu Yunlong), an underground member of the Communist Party of China who lurked in the Japanese puppet police station, who joined Soviet agents to assassinate the Japanese agent leader and smash the terrible conspiracy of the Japanese army.","It tells the story of Tang Fei (played by Liu Yunlong), a member of Communist Party of China working undercover in a police station under the Japanese puppet government, who assassinates the head of Japanese intelligence and destroys a shocking conspiracy of the Japanese army alongside secret agents from the Soviet Union.",0
"The “Winner” is adapted from historical facts, and its material is taken from Soviet military archives which have been dusty for many years.","The Possibility of Victory is adapted from historical facts, and is based on Soviet Union military archive materials which have been classified for many years.",-16.1
"During the Fight for Moscow, the elite of the Far East of the Soviet Red Army rushed westward to help, while the ""Northward School"" of the Japanese Kwantung Army thought that there was an opportunity to send troops.","During the Fight for Moscow, the elite Far Eastern army of the Soviet Red Army went west to assist in the fight, but at that time the “Going North Faction” of Japan’s Kwantung Army held the view that there would be opportunities in the north, so troops should be sent.",-6
"In order to solve the crisis of being attacked from both sides of the abdomen, the intelligence personnel of the CPC and the CPSU jointly implemented the ""Mudan Ula"" plan.","To defeat their enemies in the front and the rear, information staff of Communist Party of China and Soviet Union jointly launched “Mudanura” plan.",-10
"According to this historical background, Deng Yuan, a well-known screenwriter, has polished this film several times, which makes the plot tortuous and brain-burning.","Given this context, noted script writer Deng Yuan revised the script several times, making the plot both thrilling and suspenseful.",-10
Liu Yunlong is the producer and the leading actor in the “Winner”.,Liu Yunlong was both supervising producer and protagonist of the TV series.,-6.1
"In the play, Tang Fei, played by Liu Yunlong, is the criminal section chief of Linhe Police Department; and he is a stuttering policeman who is quite happy and even a little angry, but his real identity is an underground member of the Communist Party of China.","In the TV series, he plays Tang Fei, Chief of the Criminal Office of the Linhe Police Bureau, a stuttering, comical, and trouble-prone policeman, but his real identity is an underground member of Communist Party of China.",-21
"Cai Meng, the heroine who played the opposite play, is the head of Linhe Security Bureau, who is highly appreciated by Japanese boss Fukuhara; and there is a subtle relationship between Cai Meng and Tang Fei, which is both enemy and friend and ambiguous.","The heroine Cai Meng is Chief of Linhe Security Bureau, who is deeply beloved by her Japanese leader Fukuwara, and there is a subtle relationship between her and Tang Fei, making them “frenemies” with a romantic undertone.",-11
"In recent years, Su Qing has tried many different roles, from Lu Ruowen in the “Those Years We Are Young” to Er Qing in the “Story of Yanxi Palace”, all of which impressed the audiences deeply and were recognized by the audiences for her acting skills.","Su Qing has attempted to play different roles in recent years, from Lu Ruowen in We Were Young in Those Years to Erqing in Story of Yanxi Palace, all of which left a deep impression upon the general public, and her skill is now widely recognized.",-16.1
"This time, Su Qing and Liu Yunlong are partners for the first time; and the arrangement of stuttering police chief with charming policewoman is quite interesting and innovative.","This is the first collaboration between Su Qing and Liu Yunlong, a stuttering policeman an an enchanting policewoman, and is both eye-catching and novel.",-1
"In addition to the two protagonists, there are many powerful actors such as Liang Guanhua, Li Liqun, Qian Bo, Lei Han, and Shen Junyi in the “Winner”, and the old actors are also one of the highlights of this film.","Apart from the two protagonists, many skilled actors, including Liang Guanhua, Li Liqun, Qian Bo, Lei Han, Shen Junyi, also perform in the TV series, which makes it even more attractive.",-11
"It is understood that the “Winner” is also very sophisticated in production, and the crew spans nearly 2,000 kilometers in Jiangsu, Zhejiang and Liaoning provinces for shooting and framing.","According to sources, the production is very detailed, and the crew selected venues in three provinces, including Jiangsu, Zhejiang and Liaoning provinces, travelling nearly 2,000 kilometers.",-11.1
"In order to restore the grotesque city features during the Japanese occupation period in Northeast China, the artists and props group of the crew worked day and night, carefully polishing every detail of the scene construction and props, which made the scenes in the play delicate and rich in historical texture.","To restore the gorgeous urban appearance of Northeast China as captured by Japanese invaders, the art and prop team worked around the clock, carefully designing every detail of the settings and props, which enables the richly detailed scenes and captures the historical essence of the era.",-6
"Greenland starts a new round of reform of mixed ownership system, and Shanghai SASAC intends to transfer 17.5% of its shares - Economic Observation Network (eeo.com.cn) - professional financial and economic news website","Greenland Launches a New Round of Mixed Reform, and Shanghai State-owned Assets Transfers 17.5% of Its Shares - www.eeo.com.cn - Professional Financial News Website",-15
"Economic Observation Network (eeo.com.cn)	Reporter: Rao Xianjun 	On July 26, Greenland Holdings (600606.SH) released the ""Prompt Announcement on the Proposed Transfer of Partial Shares of the Company by State-owned Shareholders by Way of Public Solicitation of Transferees and Resumption of Trading”.","Eeo.com.cn reporter Rao Xianjun, July 26, Greenland Holdings (600606.SH) issued a ""Suggestive Announcement on the State-owned Shareholders' Intention to Transfer Part of the Company's Shares and Resume Trading through Public Solicitation of the Transferee.""",-0.1
"According to the content of the Announcement, in order to further deepen the reform of state-owned assets and enterprises, optimize the restructuring of the layout of state-owned assets, and improve the equity structure of Greenland, Shanghai Land (Group) Co., Ltd. (hereinafter referred to as ""Shanghai Land"") and Shanghai Chengtou (Group) Co., Ltd (hereinafter referred to as ""Shanghai Chengtou"") intend to transfer the Company’s partial shares held by them by means of public solicitation of transferees. The total proportion of shares to be transferred will not exceed 17.5% of the total capital stock of Greenland.","According to the announcement, in order to further deepen the reform of state-owned assets and state-owned enterprises, optimize the structural adjustment of state-owned assets, and improve the ownership structure of Greenland, Shanghai Land (Group) Co., Ltd. (hereinafter referred to as ""Shanghai Land"") and Shanghai Chengtou Investment (Group) Co., Ltd. (hereinafter referred to as ""Shanghai Chengtou Investment"") plan to transfer part of the shares of the company held by the transferee through public solicitation, and the total proportion of the shares to be transferred shall not exceed 17.5% of the total share capital of Greenland.",-10
"The price of the shares to be transferred this time shall not be less than the higher of: the arithmetic average of the daily weighted average price for the 30 trading days preceding the date of prompt announcement (July 27, 2020); and the audited net asset value per share of the Company for the latest fiscal year.","The price of the shares to be transferred this time shall not be lower than the higher of the following two: the arithmetic average of the daily weighted average price of the 30 trading days before the suggestive announcement date (July 27, 2020); the audited net asset value per share of the company in the latest accounting year.",0
"At present, there is not a final conclusion about the new strategic investors of Greenland, as estimated according to the information publicized in the Announcement, new strategic investors need to pay RMB14.0 billion for getting the 17.5% of shares to be transferred in this reform of mixed ownership system.","At present, there is still no final conclusion on the new strategic investors of Greenland, but according to the information estimates in the announcement, the new strategic investors need to pay about RMB 14 billion to take the 17.5% equity transferred in the mixed-use reform of Greenland.",-10
"It is worth noting that after the completion of this share transfer, it is predicted that Greenland will still have no controlling shareholder or actual controller, but the control power structure may change significantly.","It is worth noting that after the completion of the share transfer, Greenland is expected to have no controlling shareholders and actual controllers, but the control structure may change greatly.",-5
"Greenland Holdings has carried out several institutional and mechanism reforms since its founding: from 1992 to 1997, Greenland operated under a purely state-owned system according to market-oriented rules; from 1997 to 2013, this Company established and continuously improved a stock system of share controlling by state-owned companies and share holding by employees; from 2013 to 2015, it introduced strategic investors to form a mixed ownership system with cross-shareholding and mutual integration of state-owned and non-public capital; and since 2015, it has gone listed on the whole and become a public company.","Since its establishment, Greenland Holdings has carried out many institutional reforms: from 1992 to 1997, it was operated under the pure state-owned system in accordance with market-oriented rules; from 1997 to 2013, it established and continuously improved the joint-stock system of state-owned holding and employee shareholding; from 2013 to 2015, strategic investors were introduced to form a mixed ownership system of cross-shareholding and mutual integration of state-owned and non-public capital; and since 2015, the company has been entirely listed and has become a public company.",-1
"Greenland's present plan for the reform of mixed ownership system is similar to that of Gree, in December 2019, HillHouse Capital led Zhuhai Mingjun to take over 15% shares of Gree Electric (000651.SZ) at the cost of RMB41.662 billion, and Gree Group became a minority shareholder, after completion of the reform of mixed ownership system, Gree Electric implemented modernized corporate management methods, such as the incentive plan for senior executives, and the structure without actual controller.","Greenland's current mixed reform plan is similar to Gree's: in December 2019, Zhuhai Mingjun, led by Hillhouse Capital, took over 15% of the shares of Gree Electric Appliances (000651.SZ) with RMB 41.662 billion, and the Gree Group retreated to being the minority shareholder; after the completion of the mixed reform, Gree implemented modern enterprise management methods, such as executive incentive plans and no real controller structure.",-10
"Shanghai Land and Shanghai Chengtou are both state-owned enterprise groups wholly owned by the Shanghai SASAC (Shanghai State-owned Assets Supervision and Administration Commission), Zhang Yuliang, the chairman and president of Greenland Holdings, said that Greenland's this move is an important action for Shanghai to promote the comprehensive reform of state-owned assets and enterprises and accelerate the reform of state-owned assets and enterprises in the new phase according to the requirements of the CPC Central Committee, fully demonstrating the new idea of reform tailored to local conditions and the needs of individuals, by introducing new outstanding strategic shareholders to the listed company, it will support enterprises to further improve the degree of marketization, enhance the freedom of operation and management, and accelerate the full release of reform vitality.","Shanghai Land and Shanghai Chengtou Investment are all state-owned enterprise groups wholly owned by Shanghai SASAC, and Zhang Yuliang, chairman and president of Greenland holdings, said that Greenland's move is an important measure for Shanghai to promote the comprehensive reform of state-owned assets and enterprises and accelerate the reform of state-owned assets and enterprises in the new era in accordance with the requirements of the CPC Central Committee; it also fully shows the new concept of reform that adapts measures to local conditions and acts according to actual circumstances, because it is necessary to introduce new shareholders to support the reform of corporate strategy, further improve the degree of corporate management freedom, and accelerate the full release of reform vitality.",-1
"Can Liu Dehua and Liu Qingyun ""create” a new spark - www.xinhuanet.com",Can Andy Lau and Sean Lau “run” up new sparks? - Xinhuanet,-15
"The filmmaker recently announced that the Shock Wave 2 would be released on December 24th, becoming the first film to be finalized for the Lunar New Year.","It was recently announced that “Running Out of Time 2” will be released on December 24th, making it the first film to set its release date during the winter holiday season.",-10.1
"The Shock Wave 2 is still directed by Qiu Litao, supervised by Liu Dehua and starring in it, with a brand-new story.","This sequel, again directed by Liu Qitao and produced by Andy Lau, presents a brand-new story in the series.",-20.1
"It is reported that the addition of the ""nuclear bomb"" element in the Shock Wave 2 also makes the challenge faced by bomb squad even more difficult, several glimpses in the preview have already made people's hearts hang on the line, and the mushroom cloud of the big explosion and the airport engulfed by flames are quite shocking.","Sources say that the addition of a “nuclear bomb” to the plot raises the stakes the challenge faced by these demolition experts, the stunning scenes in the trailers have audiences waiting on tenterhooks, and the shot of the mushroom cloud enveloping the airport is especially shocking.",-20.1
"Three years ago, the Shock Wave, produced by the original team, won the May 1st box office champion and won seven nominations at the Hong Kong Film Awards, and Qiu Litao × Liu Dehua also became the gold partner in the audience's mind.","Three years ago, the first “Running Out of Time” produced by the original team earned the highest box office total of the May Day holiday season, won 7 nominations at the Hong Kong Film Awards, and made “Qiu Litao x Andy Lau” a golden partnership to film lovers everywhere.",-15
This Shock Wave 2 also makes people look forward to whether this ace combination can spark a new spark.,"Now, people are hoping that these partners can produce new sparks on the silver screen with “Running Out of Time 2”.",-5.1
The Shock Wave 2 tells a brand-new story: The former bomb disposal expert Pan Chengfeng (played by Liu Dehua) faints at the scene of the bombing and is listed as a suspect by the police.,"“Running Out of Time 2” brings us an entirely new story: former bomb disposal expert Pan Chengfeng (played by Andy Lau) passes out at a bombing crime scene, causing the police to consider him a suspect.",-20.1
"In order to find the truth, he had to seek help from his good friend Dong Zhuowen (played by Liu Qingyun), who is also a bomb disposal expert.","To discover the truth, he is forced to ask his bomb disposal expert friend Dong Zhuowen (played by Sean Lau) for help.",-20
"Pang Ling (played by Ni Ni), the female inspector who is eager to solve the case and Pan Chengfeng's ex-girlfriend, is also involved.","Pang Ling, the female detective assigned to the case and Pan Chengfeng’s former girlfriend (played Ni Ni) is also pulled into the fray.",-2
"It's still the Shock Wave, but we can feel the complexity of Liu Dehua's new role from the preview: he breaks a leg, puts on a prosthetic leg, is chased by Liu Qingyun, who is also a bomb disposal expert, and is directed by his ex-girlfriend Ni Ni.","Pan Chengfeng is still a bomb disposal expert, but in the release date announcement trailer, Andy Lau’s new role is more complex: after breaking his leg, he attaches a prosthetic leg, and then defuses a bomb while being chased by Sean Lau and taking instructions from his ex-girlfriend Ni Ni.",-17
"What is the relationship between the three persons, what did Liu Dehua do in Xiangdao Hotel, what kind of case he was involved in, and what twists and turns he experienced in his career as a bomb disposal expert, all kinds of mysteries make people curious.","Just what is the relationship between the three characters, what does Andy Lau do in the Hong Kong hotel, what kind of case is he involved in, and what happened to his bomb disposal career are all questions to which audiences crave answers.",-5
"It is understood that the main event of the film is to take pictures of the world landmarks in Hong Kong on the spot, and with the top special effects production team, so it brings shocking and vivid visual impact.","Sources tell us that the film’s highlights include on-location shooting at world-famous Hong Kong landmarks, and coupled with the industry-leading special effects team, we expect the film to deliver a mind-blowing cinematic experience.",0
(Reporter Nie Qing),(Correspondent: Nie Qing),0
"Www.chinanews.com, July 26 - Integrated Sputnik reported that, July 26 is the Russian Navy Day, and the main military parades to celebrate the Navy Day were held in St. Petersburg and Kronstadt.","July 26, (Ecns.cn) According to Sputnik News, July 26 is Russia’s Navy Day, and the main military parade to celebrate the Navy Day was held in St. Petersburg and Kronshtadt.",-4
"Vladimir Putin, Russian President and Supreme Commander of the Armed Forces of the Russian Federation, arrived in Kronstadt for the celebrations, and in this place, 15 ships and submarines were inspected.","The President and Supreme Commander of the Armed Forces of the Russian Federation Putin arrived in Kronshtadt to participate in the celebration, where he inspected 15 ships and submarines.",-1
"On July 28, 2019, local time, a grand military parade was held to celebrate the Navy Day in St. Petersburg, Russia.","On July 28, 2019 (MSK), Russia held a grand military parade to celebrate Navy day in St. Petersburg.",0
"It’s reported that Putin celebrated naval officers and soldiers on the Navy Day, sailed by the naval ships which would appear in the maritime parade on the Gulf of Finland in a small boat, and then reviewed the paraded troops on the main viewing stand.","It was reported that Putin congratulated the navy officers and soldiers on Navy Day, passed by the ships that were about to participate in the maritime parade in a small boat on the Gulf of Finland, and then inspected the troops under review at the main reviewing stand.",-2
"Putin said that the Russian naval fleet is equipped with the latest ships and special equipment, and the level of equipment is constantly improved.","Putin said that the Russian naval fleet was equipped with the latest ships and special equipment, and the level of equipment was constantly improving.",-2
"Putin said at the Russian Navy Day parade that, ""The Russian naval fleet has warships equipped with high-precision weapons, strategic submarine cruisers and multipurpose submarines, the latest aircrafts and other air vehicles, unique weapons and special equipment. ”","Putin said at the military parade on Russia’s Navy Day, ""The Russian naval fleet is equipped with high-precision weapons, strategic submersible cruisers and multi-purpose submarines, the latest aircraft and other aircraft, unique weapons, and special equipment. ”",-0.2
"On June 24, local time, Russia held the Military Parade at Red Square to celebrate the 75th Anniversary of Victory in the Patriotic War.","On June 24 (MST), a military parade was held at Red Square in Russia to commemorate the 75th anniversary of the victory in the Great Patriotic War.",-2
"He also said that, Russian naval fleet will gain unique advantages by means of digitalization and effective defense.",He also stated that the Russian naval fleet will rely on digitalization and effective defense methods to gain unique advantages.,-1
"It’s reported that, the main naval parades to celebrate the Russian Navy Day were held in St. Petersburg and Kronstadt with the participation of 46 naval ships, including the “Admiral Kasatonov” Frigate, the “Vice-Admiral Kulakov” Large Anti-submarine Ship, as well as large landing ships, small missile ships, frigates, and submarines.","According to the report, the main naval parade to celebrate Russia’s Navy Day was held in St. Petersburg and Kronshtadt, and a total of 46 ships participated, including the frigate ""Admiral Kasatonov Frigate"", the anti-submarine ship ""Vice Admiral Kulakov"", as well as large landing ships, small missile ships, frigates, submarines, and more.",0
"Wherein, a series of naval ships were displayed in a static way nearby the Palace Bridge in St. Petersburg, and the most notable of which was a replica of the “Poltava”, the first Russian battleship of the early 18th century.","Among them, the series of ships were statically displayed next to the Palace Bridge (Dvortsovyy Most) in St. Petersburg, the most eye-catching of which was the replica of Russia’s first battleship ""Poltava"" in the early 18th century.",-3
"To avoid the spread of COVID-19, only local residents and distinguished guests can enter Kronstadt during the naval parade this year.","In order to avoid the spread of COVID-19, only local residents and special guests could enter Kronshtadt during the naval parade this year.",0
The last Sunday of each July is the Russian Naval Day.,Russia’s Navy Day takes place each year on the last Sunday of July.,-1
"Www.cq.chinanews.com, July 26 (Reporter Liu Xian) - Chongqing Development and Reform Commission announced on 26 that the city had returned 4,404 fishermen had given up fishing in the city by then, accounting for 42.54% of all fishermen involved.","CHONGQING, July 26, (Ecns.cn, by Liu Xian): The Chongqing Municipal Commission of Development and Reform announced on the 26th that there are 4,404 fishermen who have quit fishing so far, accounting for 42.54% of all fishermen involved.",-15.1
"In an interview with a reporter from Chinanews.com, Li Daiguo, a 53-year-old fisherman, said they had been fishing in the Longxi River since the generation of his grandfather. He started fishing by following his father since he was 11. Rowing their boat, they travelled along the Longxi River to Liangping, Chongqing upstream and to Changshou downstream. Every departure from home would last for ten to fifteen days. The whole family relied on fishing to maintain family life.","In an interview with a reporter from Ecns.cn, 53-year-old Li Daiguo said that his grandfathers used to fish in the Longxi River, and that he had been fishing with his father since the age of 11, shaking his boat, and traveling along the Longxi River from Liangping, Chongqing to Changshou, journeys that would last for over ten days every time he left his home, and he relied on fishing to make a living.",-20
"However, since 1997, as the rural population has gradually poured into the town, more and more residents came to live in the fisheries and town, resulting in increasingly serious environmental pollution.","However, since 1997, as the rural population has gradually flowed into the town, there are increasing number of residents in Gao'anchang town, which has caused increasingly serious environmental pollution.",-10
"Paper mills, chemical plants, and breeding farms were built along the Longxi River, which also polluted the river.","Paper mills, chemical plants, and breeding farms were built along the Longxi River, which also polluted the river.",0
"By 2007 and 2008, Longxi River had become a stinking ditch.","By 2007 and 2008, the Longxi River became a stinking ditch.",-5
"""The scales of the fish caught are all black, and fish interiors were also black after being cut open. ”","""The scales of the fish are black, and their stomachs are black, too. """,-10
"Li Daiguo said, fishing became more and more difficult after the river water was polluted.",Li Daiguo said that fishing has become more and more difficult after the river was polluted.,-5
"The local government began to make great efforts to control the pollution, including cleaning up items floating on the river, patrolling the river, and protecting aquatic resources.","The local government began to make great efforts to control the pollution of the Longxi River, including clearing the river, patrolling on the river, and managing and protecting aquatic resources.",-5
Li Daiguo also gave up fishing and switched his career to become a river inspection team member for managing and protecting the aquatic resources there.,Li Daiguo also quit fishing and became a member of the river inspection team to manage and protect aquatic resources.,0
"Starting from January 1, 2020, a comprehensive ban on fishing was implemented in Chongqing Aquatic Life Reserve and related waters in the main urban area.","Starting from January 1, 2020, the aquatic life reserve of Chongqing and related water areas in the main urban area have implemented a total ban on fishing.",0
"According to data from Chongqing Development and Reform Commission, as of now, the number of fishing vessels giving up fishing has gradually grown to 3,403 in Chongqing city and number of fishing ships for which fishing abandonment agreements were signed has reached 4,643, which accounted for 63.3% and 86.3% of the total number defined in the three-year overall target plan respectively.","According to data from the Chongqing Municipal Commission of Development and Reform, as of now, there are 3,403 fishing boats that have quit fishing and 4,643 fishing boats that have signed retreat agreements, accounting for 63.3% and 86.3% of the total three-year mission respectively.",-0.2
"4,404 fishermen have retired from fishing, accounting for 42.54% of all fishermen involved.","4,404 fishermen have quit fishing, accounting for 42.54% of all fishermen involved.",-0.1
"Among them, 4,267 have been employed, accounting for 96.89% of all.","Among the 4,404 fishermen who quit fishing, 4,267 are re-employed, accounting for 96.89% of the fishermen who have quit fishing.",-0.1
"Pension insurance and security were provided to 2,691 of them, accounting for 61.10% of all the retired fishermen.","The pension insurance coverage covers 2,691 people, accounting for 61.10% of the fishermen who have quit fishing.",-0.1
